DATE,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
20191007,0.0067,-0.4089,0.1175,-0.4197,-0.1369,0.1236
20191008,0.0067,-1.6132,-0.1489,0.0375,0.3238,-0.2066
20191009,0.0067,0.9187,-0.6430,-0.1268,0.2505,0.3836
20191010,0.0067,0.5993,-0.0915,-0.1806,0.0685,-0.0787
20191011,0.0067,1.2309,0.7025,0.1514,0.0966,0.2354
20191014,0.0067,-0.1810,-0.3401,-0.0913,0.1148,0.2130
20191015,0.0067,1.0258,0.4675,-0.6644,-0.0082,0.2949
20191016,0.0067,-0.2444,0.6337,0.3624,0.2797,-0.3128
20191017,0.0067,0.3668,0.9206,-0.0064,0.0336,0.0053
20191018,0.0067,-0.4858,0.0485,0.6223,0.4025,-0.3958
20191021,0.0067,0.7057,0.4263,0.1755,0.1510,0.0804
20191022,0.0067,-0.3407,0.5964,0.6387,-0.0974,-0.7093
20191023,0.0067,0.2551,0.0523,-0.1782,0.1814,-0.1840
20191024,0.0067,0.2550,-0.6562,-0.7602,-0.2264,0.6723
20191025,0.0067,0.5050,0.5152,-0.0185,0.0607,0.4250
20191028,0.0067,0.6227,0.4019,0.0109,0.1075,0.1540
20191029,0.0067,-0.1277,0.2983,0.1458,-0.3032,-0.3033
20191030,0.0067,0.2754,-0.8652,0.4404,-0.1998,0.0966
20191031,0.0067,-0.3796,-0.3698,0.0572,-0.2095,-0.0042
20191101,0.0060,1.0779,0.7121,0.2576,-0.6269,-0.8110
20191104,0.0060,0.3967,0.3774,0.3960,-0.2761,-0.4670
20191105,0.0060,-0.0267,0.3554,0.0015,-0.0268,0.0068
20191106,0.0060,-0.0530,-0.9181,0.0955,0.3558,-0.0374
20191107,0.0060,0.3837,0.0911,-0.1416,-0.3192,-0.2373
20191108,0.0060,0.3085,0.0130,0.2684,-0.1083,-0.0255
20191111,0.0060,-0.1914,-0.1316,-0.3121,0.0830,-0.4618
20191112,0.0060,0.1583,-0.0602,-0.3539,0.3174,0.4320
20191113,0.0060,0.0072,-0.5737,-0.1136,-0.0022,0.0866
20191114,0.0060,0.0702,-0.2113,-0.1611,0.1285,0.0232
20191115,0.0060,0.7404,-0.3246,0.0039,-0.4063,0.1712
20191118,0.0060,0.0239,-0.3713,-0.3110,0.6055,0.1140
20191119,0.0060,0.0207,0.0383,-0.1318,-0.4464,0.0733
